strategy,day,critical,deceased,reward,economic_index
Bene-Beraq_ASCENDING_1.0,136,97,15,85725719.24125910,2964248311.16
Bene-Beraq_ASCENDING_1.0,137,99,15,85888731.56276670,2985721609.16
Bene-Beraq_ASCENDING_1.0,138,102,15,85954027.98549690,3007211229.16
Bene-Beraq_ASCENDING_1.0,139,98,17,86114007.63853390,3028740839.16
Bene-Beraq_ASCENDING_1.0,140,103,20,86313113.70888910,3050320219.16
Bene-Beraq_ASCENDING_0.75,21,0,0,-30157703.73626510,30157704.0
Bene-Beraq_ASCENDING_0.75,22,0,0,-30126467.767011900,60284172.0
Bene-Beraq_ASCENDING_0.75,23,0,0,60192108.20305040,90380226.0
Bene-Beraq_ASCENDING_0.75,24,0,0,-30067283.825269000,120447510.0
Bene-Beraq_ASCENDING_0.75,25,0,0,60082508.14910860,150488764.0
Bene-Beraq_ASCENDING_0.75,26,0,0,120046648.11998000,180500426.0
Bene-Beraq_ASCENDING_0.75,27,0,0,59937068.077366000,210468960.0
Bene-Beraq_ASCENDING_0.75,28,0,0,119687160.0315160,240390750.0
Bene-Beraq_ASCENDING_0.75,29,0,0,59740296.40510290,270261028.0
Bene-Beraq_ASCENDING_0.75,30,0,0,59623871.6810961,300073108.0
Bene-Beraq_ASCENDING_0.75,31,0,0,-29757979.020093300,329830772.0
Bene-Beraq_ASCENDING_0.75,32,0,0,-29681022.914205600,359511442.0
Bene-Beraq_ASCENDING_0.75,33,0,0,59202027.977991700,389112652.0
Bene-Beraq_ASCENDING_0.75,34,1,0,-29512117.984572600,418624334.0
Bene-Beraq_ASCENDING_0.75,35,1,0,-29406242.03840660,448030088.0
Bene-Beraq_ASCENDING_0.75,36,1,0,-29296586.115057900,477326132.0
Bene-Beraq_ASCENDING_0.75,37,3,0,-29163573.24977750,506489098.0
Bene-Beraq_ASCENDING_0.75,38,6,0,-29012501.015184600,535500918.0
Bene-Beraq_ASCENDING_0.75,39,7,0,-28851538.17477140,564351696.0
Bene-Beraq_ASCENDING_0.75,40,9,0,-28676623.942228300,593027474.0
Bene-Beraq_ASCENDING_0.75,41,10,0,-28484824.205518200,621511358.0
Bene-Beraq_ASCENDING_0.75,42,10,1,-28247762.584944800,649758064.0
Bene-Beraq_ASCENDING_0.75,43,10,1,-27982277.393802100,677739154.0
Bene-Beraq_ASCENDING_0.75,44,9,1,-27690705.148690600,705428528.0
Bene-Beraq_ASCENDING_0.75,45,10,2,-27371937.579901300,732798978.0
Bene-Beraq_ASCENDING_0.75,46,11,2,-27038549.562963600,759835876.0
Bene-Beraq_ASCENDING_0.75,47,11,2,-26664833.504490700,786498874.0
Bene-Beraq_ASCENDING_0.75,48,14,2,-26207908.03721980,812704722.0
Bene-Beraq_ASCENDING_0.75,49,14,2,-25749567.64878500,838452004.0
Bene-Beraq_ASCENDING_0.75,50,19,2,-25212485.289316800,863661940.0
Bene-Beraq_ASCENDING_0.75,51,19,2,-22470906.566487300,886129993.45
Bene-Beraq_ASCENDING_0.75,52,19,2,-21928781.941013300,908055643.8000000
Bene-Beraq_ASCENDING_0.75,53,19,2,42795676.81029370,929455182.99
Bene-Beraq_ASCENDING_0.75,54,19,2,41733456.734510900,950323748.48
Bene-Beraq_ASCENDING_0.75,55,19,2,40620558.87842440,970636008.19
Bene-Beraq_ASCENDING_0.75,56,18,2,78700581.64657230,990312225.5600000
Bene-Beraq_ASCENDING_0.75,57,18,2,75941919.78498580,1009298866.3000000
Bene-Beraq_ASCENDING_0.75,58,18,2,73033584.77862500,1027558516.8100000
Bene-Beraq_ASCENDING_0.75,59,18,2,70041450.91079650,1045070230.5100000
Bene-Beraq_ASCENDING_0.75,60,18,2,33448923.41304800,1061797596.7800000
Bene-Beraq_ASCENDING_0.75,61,18,2,31822295.536159900,1077711859.0800000
Bene-Beraq_ASCENDING_0.75,62,18,2,30290786.346770800,1092860564.0100000
Bene-Beraq_ASCENDING_0.75,63,18,2,28731627.085530100,1107229890.3100000
